turns,max_tiles,min_tiles,piece_distributions
77,5,-2,"{8: 1, 2: 2, 4: 3, 32: 1, 16: 1, -2: 1}"
93,5,-4,"{2: 2, -4: 1, -2: 1, 4: 2, 16: 1, 32: 1, 8: 1}"
79,5,-2,"{-2: 1, 32: 1, 4: 3, 16: 1, 8: 1, 2: 2}"
55,5,-2,"{-2: 1, 4: 2, 2: 3, 8: 2, 32: 1}"
66,5,-4,"{4: 2, 2: 3, 8: 1, 16: 1, -4: 1, 32: 1}"
74,5,-2,"{8: 2, 4: 2, 2: 2, 32: 1, 16: 1, -2: 1}"
22,4,2,"{2: 4, 4: 3, 8: 1, 16: 1}"
43,4,-2,"{2: 2, 8: 3, -2: 2, 16: 1, 4: 1}"
42,4,-2,"{-2: 2, 4: 2, 8: 3, 16: 1, 2: 1}"
86,5,-2,"{2: 2, 4: 3, -2: 1, 32: 1, 16: 2}"
33,4,-2,"{-2: 3, 4: 2, 2: 2, 16: 1, 8: 1}"
59,5,-4,"{2: 2, 16: 1, 8: 2, -4: 1, 32: 1, 4: 1, -2: 1}"
49,4,-2,"{-2: 1, 8: 2, 16: 1, 4: 2, 2: 3}"
34,4,-2,"{4: 1, 2: 2, 16: 2, -2: 2, 8: 2}"
94,5,2,"{4: 2, 16: 2, 2: 2, 8: 2, 32: 1}"
43,4,-2,"{-2: 2, 4: 3, 2: 2, 8: 1, 16: 1}"
72,5,-2,"{8: 1, -2: 2, 4: 3, 32: 1, 16: 1, 2: 1}"
54,4,-4,"{-2: 2, 16: 1, 2: 3, -4: 1, 4: 1, 8: 1}"
64,5,2,"{4: 3, 2: 3, 8: 1, 32: 1, 16: 1}"
71,5,-8,"{2: 2, 8: 2, -4: 1, 4: 2, 32: 1, -8: 1}"
59,4,-8,"{-4: 1, 16: 1, 2: 1, 8: 1, -2: 3, -8: 1, 4: 1}"
33,4,-2,"{-2: 2, 4: 2, 2: 2, 16: 3}"
28,4,-4,"{-2: 3, 8: 1, 16: 1, 2: 2, -4: 1, 4: 1}"
57,5,-4,"{2: 4, -4: 2, 8: 2, 32: 1}"
51,4,-2,"{2: 2, 16: 3, -2: 1, 4: 3}"
55,6,-2,"{-2: 2, 8: 1, 4: 2, 2: 3, 64: 1}"
25,4,-2,"{4: 4, 8: 1, -2: 1, 2: 2, 16: 1}"
92,6,-2,"{8: 1, 4: 3, 2: 2, 32: 1, 64: 1, -2: 1}"
71,4,-2,"{8: 2, 16: 2, -2: 1, 4: 2, 2: 2}"
90,5,-2,"{-2: 1, 32: 2, 2: 4, 4: 2}"
37,4,-2,"{2: 2, 4: 2, -2: 2, 8: 2, 16: 1}"
50,5,-2,"{2: 2, 32: 1, 4: 2, 8: 2, -2: 1, 16: 1}"
